Date,Border,Monthly_Crossings,Year,Month,Month_Name
2010-11-01,Canada,7594110,2010,11,November
2010-11-01,Mexico,18811832,2010,11,November
2010-12-01,Canada,7690676,2010,12,December
2010-12-01,Mexico,20722384,2010,12,December
2011-01-01,Canada,6677975,2011,1,January
2011-01-01,Mexico,19114610,2011,1,January
2011-02-01,Canada,6409080,2011,2,February
2011-02-01,Mexico,16882715,2011,2,February
2011-03-01,Canada,7938922,2011,3,March
2011-03-01,Mexico,19384160,2011,3,March
2011-04-01,Canada,8265991,2011,4,April
2011-04-01,Mexico,18873590,2011,4,April
2011-05-01,Canada,8963114,2011,5,May
2011-05-01,Mexico,19016224,2011,5,May
2011-06-01,Canada,9435050,2011,6,June
2011-06-01,Mexico,18341792,2011,6,June
2011-07-01,Canada,12007787,2011,7,July
2011-07-01,Mexico,19333587,2011,7,July
2011-08-01,Canada,11961504,2011,8,August
2011-08-01,Mexico,19100643,2011,8,August
2011-09-01,Canada,9448752,2011,9,September
2011-09-01,Mexico,17801047,2011,9,September
2011-10-01,Canada,8939687,2011,10,October
2011-10-01,Mexico,18822740,2011,10,October
2011-11-01,Canada,8164698,2011,11,November
2011-11-01,Mexico,18451048,2011,11,November
2011-12-01,Canada,8472351,2011,12,December
2011-12-01,Mexico,20418933,2011,12,December
2012-01-01,Canada,7078709,2012,1,January
2012-01-01,Mexico,19203615,2012,1,January
2012-02-01,Canada,7276606,2012,2,February
2012-02-01,Mexico,18007943,2012,2,February
2012-03-01,Canada,8676945,2012,3,March
2012-03-01,Mexico,19650945,2012,3,March
2012-04-01,Canada,8592871,2012,4,April
2012-04-01,Mexico,19303254,2012,4,April
2012-05-01,Canada,9329829,2012,5,May
2012-05-01,Mexico,19379241,2012,5,May
2012-06-01,Canada,10075741,2012,6,June
2012-06-01,Mexico,18562335,2012,6,June
2012-07-01,Canada,12023924,2012,7,July
2012-07-01,Mexico,19927074,2012,7,July
2012-08-01,Canada,12844599,2012,8,August
2012-08-01,Mexico,19676864,2012,8,August
2012-09-01,Canada,9613850,2012,9,September
2012-09-01,Mexico,18590421,2012,9,September
2012-10-01,Canada,8974730,2012,10,October
2012-10-01,Mexico,19430533,2012,10,October
2012-11-01,Canada,8484654,2012,11,November
2012-11-01,Mexico,19676907,2012,11,November
2012-12-01,Canada,8531794,2012,12,December
2012-12-01,Mexico,21590532,2012,12,December
2013-01-01,Canada,7393210,2013,1,January
2013-01-01,Mexico,19674696,2013,1,January
2013-02-01,Canada,7166862,2013,2,February
2013-02-01,Mexico,18059953,2013,2,February
2013-03-01,Canada,8988316,2013,3,March
2013-03-01,Mexico,20651362,2013,3,March
2013-04-01,Canada,8222231,2013,4,April
2013-04-01,Mexico,19652948,2013,4,April
2013-05-01,Canada,9498257,2013,5,May
2013-05-01,Mexico,20218445,2013,5,May
2013-06-01,Canada,10175487,2013,6,June
2013-06-01,Mexico,19805374,2013,6,June
2013-07-01,Canada,12058611,2013,7,July
2013-07-01,Mexico,21305401,2013,7,July
2013-08-01,Canada,13114161,2013,8,August
2013-08-01,Mexico,21398384,2013,8,August
2013-09-01,Canada,9411704,2013,9,September
2013-09-01,Mexico,19436543,2013,9,September
2013-10-01,Canada,9269092,2013,10,October
2013-10-01,Mexico,20453151,2013,10,October
2013-11-01,Canada,8499929,2013,11,November
2013-11-01,Mexico,20560686,2013,11,November
2013-12-01,Canada,8438351,2013,12,December
2013-12-01,Mexico,22765284,2013,12,December
2014-01-01,Canada,7073051,2014,1,January
2014-01-01,Mexico,20846577,2014,1,January
2014-02-01,Canada,6660438,2014,2,February
2014-02-01,Mexico,18744870,2014,2,February
2014-03-01,Canada,8153540,2014,3,March
2014-03-01,Mexico,21608566,2014,3,March
2014-04-01,Canada,8334882,2014,4,April
2014-04-01,Mexico,21118480,2014,4,April
2014-05-01,Canada,9489383,2014,5,May
2014-05-01,Mexico,21444108,2014,5,May
2014-06-01,Canada,10092099,2014,6,June
2014-06-01,Mexico,20381320,2014,6,June
2014-07-01,Canada,11798106,2014,7,July
2014-07-01,Mexico,21665831,2014,7,July
2014-08-01,Canada,12861029,2014,8,August
2014-08-01,Mexico,21580165,2014,8,August
2014-09-01,Canada,9167867,2014,9,September
2014-09-01,Mexico,20194360,2014,9,September
2014-10-01,Canada,8966841,2014,10,October
2014-10-01,Mexico,21712257,2014,10,October
2014-11-01,Canada,7881874,2014,11,November
2014-11-01,Mexico,21953438,2014,11,November
2014-12-01,Canada,8088729,2014,12,December
2014-12-01,Mexico,23496305,2014,12,December
2015-01-01,Canada,6671807,2015,1,January
2015-01-01,Mexico,21908487,2015,1,January
2015-02-01,Canada,6074264,2015,2,February
2015-02-01,Mexico,19949949,2015,2,February
2015-03-01,Canada,7421462,2015,3,March
2015-03-01,Mexico,22777590,2015,3,March
2015-04-01,Canada,7455737,2015,4,April
2015-04-01,Mexico,21962037,2015,4,April
2015-05-01,Canada,8664906,2015,5,May
2015-05-01,Mexico,22758882,2015,5,May
2015-06-01,Canada,9188601,2015,6,June
2015-06-01,Mexico,21801083,2015,6,June
2015-07-01,Canada,11111636,2015,7,July
2015-07-01,Mexico,23022664,2015,7,July
2015-08-01,Canada,10908827,2015,8,August
2015-08-01,Mexico,22679569,2015,8,August
2015-09-01,Canada,8369654,2015,9,September
2015-09-01,Mexico,21214698,2015,9,September
2015-10-01,Canada,7799362,2015,10,October
2015-10-01,Mexico,22750303,2015,10,October
2015-11-01,Canada,6909179,2015,11,November
2015-11-01,Mexico,22616202,2015,11,November
2015-12-01,Canada,6981127,2015,12,December
2015-12-01,Mexico,24221972,2015,12,December
2016-01-01,Canada,6215665,2016,1,January
2016-01-01,Mexico,22509540,2016,1,January
2016-02-01,Canada,5767485,2016,2,February
2016-02-01,Mexico,21178433,2016,2,February
2016-03-01,Canada,6913898,2016,3,March
2016-03-01,Mexico,23538937,2016,3,March
2016-04-01,Canada,6847059,2016,4,April
2016-04-01,Mexico,22425802,2016,4,April
2016-05-01,Canada,8033685,2016,5,May
2016-05-01,Mexico,23331096,2016,5,May
2016-06-01,Canada,8624151,2016,6,June
2016-06-01,Mexico,22011038,2016,6,June
2016-07-01,Canada,10782099,2016,7,July
2016-07-01,Mexico,23531447,2016,7,July
2016-08-01,Canada,10692018,2016,8,August
2016-08-01,Mexico,23095539,2016,8,August
2016-09-01,Canada,8487012,2016,9,September
2016-09-01,Mexico,21927454,2016,9,September
2016-10-01,Canada,7890198,2016,10,October
2016-10-01,Mexico,23268366,2016,10,October
2016-11-01,Canada,6864575,2016,11,November
2016-11-01,Mexico,22589757,2016,11,November
2016-12-01,Canada,6833933,2016,12,December
2016-12-01,Mexico,24124996,2016,12,December
2017-01-01,Canada,6168767,2017,1,January
2017-01-01,Mexico,22658143,2017,1,January
2017-02-01,Canada,5768250,2017,2,February
2017-02-01,Mexico,20313428,2017,2,February
2017-03-01,Canada,6749117,2017,3,March
2017-03-01,Mexico,23938403,2017,3,March
2017-04-01,Canada,7300505,2017,4,April
2017-04-01,Mexico,23533065,2017,4,April
2017-05-01,Canada,7830360,2017,5,May
2017-05-01,Mexico,23666450,2017,5,May
2017-06-01,Canada,8515363,2017,6,June
2017-06-01,Mexico,22601609,2017,6,June
2017-07-01,Canada,10673299,2017,7,July
2017-07-01,Mexico,24175612,2017,7,July
2017-08-01,Canada,10846607,2017,8,August
2017-08-01,Mexico,23597777,2017,8,August
2017-09-01,Canada,8454019,2017,9,September
2017-09-01,Mexico,22227918,2017,9,September
2017-10-01,Canada,7843460,2017,10,October
2017-10-01,Mexico,23770541,2017,10,October
2017-11-01,Canada,6987074,2017,11,November
2017-11-01,Mexico,23410172,2017,11,November
2017-12-01,Canada,7131453,2017,12,December
2017-12-01,Mexico,24809884,2017,12,December
2018-01-01,Canada,6151874,2018,1,January
2018-01-01,Mexico,23564333,2018,1,January
2018-02-01,Canada,5901475,2018,2,February
2018-02-01,Mexico,21498776,2018,2,February
2018-03-01,Canada,7561801,2018,3,March
2018-03-01,Mexico,24897090,2018,3,March
2018-04-01,Canada,7073413,2018,4,April
2018-04-01,Mexico,23876175,2018,4,April
2018-05-01,Canada,8307472,2018,5,May
2018-05-01,Mexico,24338878,2018,5,May
2018-06-01,Canada,9015529,2018,6,June
2018-06-01,Mexico,23090190,2018,6,June
2018-07-01,Canada,10564665,2018,7,July
2018-07-01,Mexico,24491909,2018,7,July
2018-08-01,Canada,10993925,2018,8,August
2018-08-01,Mexico,24176553,2018,8,August
2018-09-01,Canada,8172138,2018,9,September
2018-09-01,Mexico,22933509,2018,9,September
2018-10-01,Canada,7813441,2018,10,October
2018-10-01,Mexico,23856257,2018,10,October
2018-11-01,Canada,6788073,2018,11,November
2018-11-01,Mexico,22772683,2018,11,November
2018-12-01,Canada,7070154,2018,12,December
2018-12-01,Mexico,24246844,2018,12,December
2019-01-01,Canada,5841881,2019,1,January
2019-01-01,Mexico,23446638,2019,1,January
2019-02-01,Canada,5451377,2019,2,February
2019-02-01,Mexico,20620942,2019,2,February
2019-03-01,Canada,7098470,2019,3,March
2019-03-01,Mexico,23889091,2019,3,March
2019-04-01,Canada,7175976,2019,4,April
2019-04-01,Mexico,21853941,2019,4,April
2019-05-01,Canada,8039300,2019,5,May
2019-05-01,Mexico,22837028,2019,5,May
2019-06-01,Canada,9762713,2019,6,June
2019-06-01,Mexico,23005206,2019,6,June
2019-07-01,Canada,10519310,2019,7,July
2019-07-01,Mexico,23459663,2019,7,July
2019-08-01,Canada,11146471,2019,8,August
2019-08-01,Mexico,23215593,2019,8,August
2019-09-01,Canada,8070939,2019,9,September
2019-09-01,Mexico,22503609,2019,9,September
2019-10-01,Canada,7733413,2019,10,October
2019-10-01,Mexico,23278732,2019,10,October
2019-11-01,Canada,6763885,2019,11,November
2019-11-01,Mexico,22817609,2019,11,November
2019-12-01,Canada,7058135,2019,12,December
2019-12-01,Mexico,24610093,2019,12,December
2020-01-01,Canada,5895552,2020,1,January
2020-01-01,Mexico,22933664,2020,1,January
2020-02-01,Canada,6000979,2020,2,February
2020-02-01,Mexico,21185350,2020,2,February
2020-03-01,Canada,3703717,2020,3,March
2020-03-01,Mexico,17135241,2020,3,March
2020-04-01,Canada,1110625,2020,4,April
2020-04-01,Mexico,7989450,2020,4,April
2020-05-01,Canada,1242037,2020,5,May
