Date,Border,Monthly_Crossings,Year,Month,Month_Name
2018-03-01,Mexico,17025088,2018,3,March
2018-04-01,Canada,3823640,2018,4,April
2018-04-01,Mexico,16184395,2018,4,April
2018-05-01,Canada,4634617,2018,5,May
2018-05-01,Mexico,16385611,2018,5,May
2018-06-01,Canada,5223038,2018,6,June
2018-06-01,Mexico,15559327,2018,6,June
2018-07-01,Canada,6470861,2018,7,July
2018-07-01,Mexico,16874065,2018,7,July
2018-08-01,Canada,6746286,2018,8,August
2018-08-01,Mexico,16409225,2018,8,August
2018-09-01,Canada,4639595,2018,9,September
2018-09-01,Mexico,15509179,2018,9,September
2018-10-01,Canada,4268612,2018,10,October
2018-10-01,Mexico,16040687,2018,10,October
2018-11-01,Canada,3661820,2018,11,November
2018-11-01,Mexico,15501636,2018,11,November
2018-12-01,Canada,4001889,2018,12,December
2018-12-01,Mexico,16872217,2018,12,December
2019-01-01,Canada,3030406,2019,1,January
2019-01-01,Mexico,15951704,2019,1,January
2019-02-01,Canada,2874238,2019,2,February
2019-02-01,Mexico,13837998,2019,2,February
2019-03-01,Canada,3886477,2019,3,March
2019-03-01,Mexico,16274792,2019,3,March
2019-04-01,Canada,3925390,2019,4,April
2019-04-01,Mexico,15006211,2019,4,April
2019-05-01,Canada,4479809,2019,5,May
2019-05-01,Mexico,15479479,2019,5,May
2019-06-01,Canada,5720913,2019,6,June
2019-06-01,Mexico,15699266,2019,6,June
2019-07-01,Canada,6423533,2019,7,July
2019-07-01,Mexico,16219027,2019,7,July
2019-08-01,Canada,6887399,2019,8,August
2019-08-01,Mexico,15893449,2019,8,August
2019-09-01,Canada,4542438,2019,9,September
2019-09-01,Mexico,15322656,2019,9,September
2019-10-01,Canada,4260164,2019,10,October
2019-10-01,Mexico,15723008,2019,10,October
2019-11-01,Canada,3682228,2019,11,November
2019-11-01,Mexico,15654093,2019,11,November
2019-12-01,Canada,3984151,2019,12,December
2019-12-01,Mexico,17167238,2019,12,December
2020-01-01,Canada,3067040,2020,1,January
2020-01-01,Mexico,15507390,2020,1,January
2020-02-01,Canada,3198696,2020,2,February
2020-02-01,Mexico,14145349,2020,2,February
2020-03-01,Canada,1614129,2020,3,March
2020-03-01,Mexico,11050040,2020,3,March
2020-04-01,Canada,155053,2020,4,April
2020-04-01,Mexico,4530746,2020,4,April
2020-05-01,Canada,203369,2020,5,May
2020-05-01,Mexico,6398138,2020,5,May
2020-06-01,Canada,268581,2020,6,June
