Date,Measure,Monthly_Crossings,Year,Month,Month_Name
2010-09-01,Buses,434591,2010,9,September
2010-09-01,Cars,14791425,2010,9,September
2010-09-01,Pedestrians,3048243,2010,9,September
2010-09-01,Trains,26974,2010,9,September
2010-10-01,Buses,433067,2010,10,October
2010-10-01,Cars,15322730,2010,10,October
2010-10-01,Pedestrians,3369811,2010,10,October
2010-10-01,Trains,14661,2010,10,October
2010-11-01,Buses,386925,2010,11,November
2010-11-01,Cars,13356003,2010,11,November
2010-11-01,Pedestrians,3379742,2010,11,November
2010-11-01,Trains,12123,2010,11,November
2010-12-01,Buses,412977,2010,12,December
2010-12-01,Cars,14622182,2010,12,December
2010-12-01,Pedestrians,3807616,2010,12,December
2010-12-01,Trains,12865,2010,12,December
2011-01-01,Buses,357678,2011,1,January
2011-01-01,Cars,12992666,2011,1,January
2011-01-01,Pedestrians,3360583,2011,1,January
2011-01-01,Trains,13165,2011,1,January
2011-02-01,Buses,305910,2011,2,February
2011-02-01,Cars,11545837,2011,2,February
2011-02-01,Pedestrians,3107210,2011,2,February
2011-02-01,Trains,11250,2011,2,February
2011-03-01,Buses,386431,2011,3,March
2011-03-01,Cars,13549045,2011,3,March
2011-03-01,Pedestrians,3654687,2011,3,March
2011-03-01,Trains,12203,2011,3,March
2011-04-01,Buses,444055,2011,4,April
2011-04-01,Cars,13799247,2011,4,April
2011-04-01,Pedestrians,3419601,2011,4,April
2011-04-01,Trains,18264,2011,4,April
2011-05-01,Buses,470594,2011,5,May
2011-05-01,Cars,14216052,2011,5,May
2011-05-01,Pedestrians,3349966,2011,5,May
2011-05-01,Trains,27117,2011,5,May
2011-06-01,Buses,454303,2011,6,June
2011-06-01,Cars,14106213,2011,6,June
2011-06-01,Pedestrians,3202284,2011,6,June
2011-06-01,Trains,36256,2011,6,June
2011-07-01,Buses,585113,2011,7,July
2011-07-01,Cars,16884089,2011,7,July
2011-07-01,Pedestrians,3328930,2011,7,July
2011-07-01,Trains,43896,2011,7,July
2011-08-01,Buses,535665,2011,8,August
2011-08-01,Cars,16529784,2011,8,August
2011-08-01,Pedestrians,3300373,2011,8,August
2011-08-01,Trains,45627,2011,8,August
2011-09-01,Buses,429691,2011,9,September
2011-09-01,Cars,13907426,2011,9,September
2011-09-01,Pedestrians,3132485,2011,9,September
2011-09-01,Trains,27475,2011,9,September
2011-10-01,Buses,415954,2011,10,October
2011-10-01,Cars,14141470,2011,10,October
2011-10-01,Pedestrians,3358390,2011,10,October
2011-10-01,Trains,16161,2011,10,October
2011-11-01,Buses,379091,2011,11,November
2011-11-01,Cars,13437912,2011,11,November
2011-11-01,Pedestrians,3428069,2011,11,November
2011-11-01,Trains,12805,2011,11,November
2011-12-01,Buses,408047,2011,12,December
2011-12-01,Cars,15043863,2011,12,December
2011-12-01,Pedestrians,3777237,2011,12,December
2011-12-01,Trains,16134,2011,12,December
2012-01-01,Buses,360272,2012,1,January
2012-01-01,Cars,13211334,2012,1,January
2012-01-01,Pedestrians,3413208,2012,1,January
2012-01-01,Trains,13154,2012,1,January
2012-02-01,Buses,330962,2012,2,February
2012-02-01,Cars,12525571,2012,2,February
2012-02-01,Pedestrians,3361751,2012,2,February
2012-02-01,Trains,12327,2012,2,February
2012-03-01,Buses,393722,2012,3,March
2012-03-01,Cars,14258217,2012,3,March
2012-03-01,Pedestrians,3676373,2012,3,March
2012-03-01,Trains,15778,2012,3,March
2012-04-01,Buses,440912,2012,4,April
2012-04-01,Cars,14283309,2012,4,April
2012-04-01,Pedestrians,3458315,2012,4,April
2012-04-01,Trains,16687,2012,4,April
2012-05-01,Buses,479869,2012,5,May
2012-05-01,Cars,14505139,2012,5,May
2012-05-01,Pedestrians,3460926,2012,5,May
2012-05-01,Trains,26905,2012,5,May
2012-06-01,Buses,488915,2012,6,June
2012-06-01,Cars,14751809,2012,6,June
2012-06-01,Pedestrians,3240578,2012,6,June
2012-06-01,Trains,34580,2012,6,June
2012-07-01,Buses,587431,2012,7,July
2012-07-01,Cars,17122445,2012,7,July
2012-07-01,Pedestrians,3447910,2012,7,July
