Date,Port Name,State,Port Code,Border,Measure,Value,Year,Month,Month_Name,Quarter,Region
1996-01-01,Northgate,North Dakota,3406,Canada,Personal Transportation,4005,1996,1,January,1,Northern Plains
1996-01-01,Northgate,North Dakota,3406,Canada,Public Transportation,183,1996,1,January,1,Northern Plains
1996-01-01,Norton,Vermont,211,Canada,Commercial Transportation,3212,1996,1,January,1,Northeast
1996-01-01,Norton,Vermont,211,Canada,Personal Transportation,15289,1996,1,January,1,Northeast
1996-01-01,Norton,Vermont,211,Canada,Public Transportation,68,1996,1,January,1,Northeast
1996-01-01,Norton,Vermont,211,Canada,Rail Transportation,1603,1996,1,January,1,Northeast
1996-01-01,Noyes,Minnesota,3402,Canada,Commercial Transportation,172,1996,1,January,1,Great Lakes
1996-01-01,Noyes,Minnesota,3402,Canada,Personal Transportation,4849,1996,1,January,1,Great Lakes
1996-01-01,Noyes,Minnesota,3402,Canada,Rail Transportation,6891,1996,1,January,1,Great Lakes
1996-01-01,Ogdensburg,New York,701,Canada,Commercial Transportation,2258,1996,1,January,1,Northeast
1996-01-01,Ogdensburg,New York,701,Canada,Personal Transportation,67390,1996,1,January,1,Northeast
1996-01-01,Ogdensburg,New York,701,Canada,Public Transportation,594,1996,1,January,1,Northeast
1996-01-01,Opheim,Montana,3317,Canada,Commercial Transportation,13,1996,1,January,1,Northern Plains
1996-01-01,Opheim,Montana,3317,Canada,Personal Transportation,883,1996,1,January,1,Northern Plains
1996-01-01,Oroville,Washington,3019,Canada,Commercial Transportation,2010,1996,1,January,1,Pacific Northwest
1996-01-01,Oroville,Washington,3019,Canada,Personal Transportation,60751,1996,1,January,1,Pacific Northwest
1996-01-01,Oroville,Washington,3019,Canada,Public Transportation,1601,1996,1,January,1,Pacific Northwest
1996-01-01,Otay Mesa,California,2506,Mexico,Commercial Transportation,78412,1996,1,January,1,Southwest
1996-01-01,Otay Mesa,California,2506,Mexico,Personal Transportation,1107406,1996,1,January,1,Southwest
1996-01-01,Otay Mesa,California,2506,Mexico,Public Transportation,15502,1996,1,January,1,Southwest
1996-01-01,Otay Mesa,California,2506,Mexico,Rail Transportation,72,1996,1,January,1,Southwest
1996-01-01,Pembina,North Dakota,3401,Canada,Commercial Transportation,12291,1996,1,January,1,Northern Plains
1996-01-01,Piegan,Montana,3316,Canada,Commercial Transportation,180,1996,1,January,1,Northern Plains
1996-01-01,Piegan,Montana,3316,Canada,Personal Transportation,8260,1996,1,January,1,Northern Plains
1996-01-01,Piegan,Montana,3316,Canada,Public Transportation,47,1996,1,January,1,Northern Plains
1996-01-01,Pinecreek,Minnesota,3425,Canada,Commercial Transportation,20,1996,1,January,1,Great Lakes
1996-01-01,Pinecreek,Minnesota,3425,Canada,Personal Transportation,1361,1996,1,January,1,Great Lakes
1996-01-01,Point Roberts,Washington,3017,Canada,Commercial Transportation,417,1996,1,January,1,Pacific Northwest
1996-01-01,Point Roberts,Washington,3017,Canada,Personal Transportation,199728,1996,1,January,1,Pacific Northwest
1996-01-01,Point Roberts,Washington,3017,Canada,Public Transportation,1150,1996,1,January,1,Pacific Northwest
1996-01-01,Port Huron,Michigan,3802,Canada,Commercial Transportation,102330,1996,1,January,1,Great Lakes
1996-01-01,Port Huron,Michigan,3802,Canada,Personal Transportation,452463,1996,1,January,1,Great Lakes
1996-01-01,Port Huron,Michigan,3802,Canada,Public Transportation,7171,1996,1,January,1,Great Lakes
1996-01-01,Port Huron,Michigan,3802,Canada,Rail Transportation,22609,1996,1,January,1,Great Lakes
1996-01-01,Portal,North Dakota,3403,Canada,Commercial Transportation,4442,1996,1,January,1,Northern Plains
1996-01-01,Portal,North Dakota,3403,Canada,Personal Transportation,20888,1996,1,January,1,Northern Plains
1996-01-01,Portal,North Dakota,3403,Canada,Public Transportation,1760,1996,1,January,1,Northern Plains
1996-01-01,Portal,North Dakota,3403,Canada,Rail Transportation,440,1996,1,January,1,Northern Plains
1996-01-01,Porthill,Idaho,3308,Canada,Commercial Transportation,576,1996,1,January,1,Pacific Northwest
1996-01-01,Porthill,Idaho,3308,Canada,Personal Transportation,26016,1996,1,January,1,Pacific Northwest
1996-01-01,Porthill,Idaho,3308,Canada,Public Transportation,38,1996,1,January,1,Pacific Northwest
1996-01-01,Presidio,Texas,2403,Mexico,Commercial Transportation,672,1996,1,January,1,South
1996-01-01,Presidio,Texas,2403,Mexico,Personal Transportation,177847,1996,1,January,1,South
1996-01-01,Presidio,Texas,2403,Mexico,Public Transportation,460,1996,1,January,1,South
1996-01-01,Presidio,Texas,2403,Mexico,Rail Transportation,318,1996,1,January,1,South
1996-01-01,Progreso,Texas,2309,Mexico,Commercial Transportation,2210,1996,1,January,1,South
1996-01-01,Progreso,Texas,2309,Mexico,Personal Transportation,451196,1996,1,January,1,South
1996-01-01,Progreso,Texas,2309,Mexico,Public Transportation,1382,1996,1,January,1,South
1996-01-01,Raymond,Montana,3301,Canada,Commercial Transportation,2033,1996,1,January,1,Northern Plains
1996-01-01,Raymond,Montana,3301,Canada,Personal Transportation,6749,1996,1,January,1,Northern Plains
1996-01-01,Raymond,Montana,3301,Canada,Public Transportation,41,1996,1,January,1,Northern Plains
1996-01-01,Richford,Vermont,203,Canada,Commercial Transportation,940,1996,1,January,1,Northeast
1996-01-01,Richford,Vermont,203,Canada,Personal Transportation,31528,1996,1,January,1,Northeast
1996-01-01,Richford,Vermont,203,Canada,Public Transportation,136,1996,1,January,1,Northeast
1996-01-01,Richford,Vermont,203,Canada,Rail Transportation,65,1996,1,January,1,Northeast
1996-01-01,Rio Grande City,Texas,2307,Mexico,Commercial Transportation,1180,1996,1,January,1,South
1996-01-01,Rio Grande City,Texas,2307,Mexico,Personal Transportation,216741,1996,1,January,1,South
1996-01-01,Roma,Texas,2310,Mexico,Commercial Transportation,2026,1996,1,January,1,South
1996-01-01,Roma,Texas,2310,Mexico,Personal Transportation,488006,1996,1,January,1,South
1996-01-01,Roma,Texas,2310,Mexico,Public Transportation,8409,1996,1,January,1,South
1996-01-01,Roosville,Montana,3318,Canada,Commercial Transportation,3501,1996,1,January,1,Northern Plains
1996-01-01,Roosville,Montana,3318,Canada,Personal Transportation,15993,1996,1,January,1,Northern Plains
1996-01-01,Roosville,Montana,3318,Canada,Public Transportation,1259,1996,1,January,1,Northern Plains
1996-01-01,Roseau,Minnesota,3426,Canada,Commercial Transportation,561,1996,1,January,1,Great Lakes
1996-01-01,Roseau,Minnesota,3426,Canada,Personal Transportation,10924,1996,1,January,1,Great Lakes
1996-01-01,San Luis,Arizona,2608,Mexico,Commercial Transportation,8794,1996,1,January,1,Southwest
1996-01-01,San Luis,Arizona,2608,Mexico,Personal Transportation,1143343,1996,1,January,1,Southwest
1996-01-01,San Luis,Arizona,2608,Mexico,Public Transportation,328,1996,1,January,1,Southwest
1996-01-01,Santa Teresa,New Mexico,2408,Mexico,Commercial Transportation,1601,1996,1,January,1,Southwest
1996-01-01,Santa Teresa,New Mexico,2408,Mexico,Personal Transportation,11802,1996,1,January,1,Southwest
1996-01-01,Sarles,North Dakota,3409,Canada,Commercial Transportation,57,1996,1,January,1,Northern Plains
1996-01-01,Sarles,North Dakota,3409,Canada,Personal Transportation,865,1996,1,January,1,Northern Plains
1996-01-01,Sasabe,Arizona,2606,Mexico,Commercial Transportation,118,1996,1,January,1,Southwest
1996-01-01,Sasabe,Arizona,2606,Mexico,Personal Transportation,7844,1996,1,January,1,Southwest
1996-01-01,Sault Sainte Marie,Michigan,3803,Canada,Commercial Transportation,8043,1996,1,January,1,Great Lakes
1996-01-01,Sault Sainte Marie,Michigan,3803,Canada,Personal Transportation,419245,1996,1,January,1,Great Lakes
1996-01-01,Sault Sainte Marie,Michigan,3803,Canada,Public Transportation,9795,1996,1,January,1,Great Lakes
1996-01-01,Sault Sainte Marie,Michigan,3803,Canada,Rail Transportation,1999,1996,1,January,1,Great Lakes
1996-01-01,Scobey,Montana,3309,Canada,Commercial Transportation,6,1996,1,January,1,Northern Plains
1996-01-01,Scobey,Montana,3309,Canada,Personal Transportation,1324,1996,1,January,1,Northern Plains
1996-01-01,Sherwood,North Dakota,3414,Canada,Commercial Transportation,482,1996,1,January,1,Northern Plains
1996-01-01,Sherwood,North Dakota,3414,Canada,Personal Transportation,4581,1996,1,January,1,Northern Plains
1996-01-01,Skagway,Alaska,3103,Canada,Commercial Transportation,1034,1996,1,January,1,Alaska
1996-01-01,Skagway,Alaska,3103,Canada,Personal Transportation,955,1996,1,January,1,Alaska
1996-01-01,Skagway,Alaska,3103,Canada,Public Transportation,11,1996,1,January,1,Alaska
1996-01-01,St John,North Dakota,3405,Canada,Commercial Transportation,96,1996,1,January,1,Northern Plains
1996-01-01,St John,North Dakota,3405,Canada,Personal Transportation,4763,1996,1,January,1,Northern Plains
1996-01-01,St John,North Dakota,3405,Canada,Public Transportation,70,1996,1,January,1,Northern Plains
1996-01-01,Sumas,Washington,3009,Canada,Commercial Transportation,7011,1996,1,January,1,Pacific Northwest
1996-01-01,Sumas,Washington,3009,Canada,Personal Transportation,281472,1996,1,January,1,Pacific Northwest
1996-01-01,Sumas,Washington,3009,Canada,Public Transportation,2602,1996,1,January,1,Pacific Northwest
1996-01-01,Sumas,Washington,3009,Canada,Rail Transportation,440,1996,1,January,1,Pacific Northwest
1996-01-01,Sweetgrass,Montana,3310,Canada,Commercial Transportation,15737,1996,1,January,1,Northern Plains
1996-01-01,Sweetgrass,Montana,3310,Canada,Personal Transportation,82515,1996,1,January,1,Northern Plains
1996-01-01,Sweetgrass,Montana,3310,Canada,Public Transportation,1189,1996,1,January,1,Northern Plains
1996-01-01,Sweetgrass,Montana,3310,Canada,Rail Transportation,1827,1996,1,January,1,Northern Plains
1996-01-01,Tecate,California,2505,Mexico,Commercial Transportation,6277,1996,1,January,1,Southwest
1996-01-01,Tecate,California,2505,Mexico,Personal Transportation,367262,1996,1,January,1,Southwest
1996-01-01,Tecate,California,2505,Mexico,Public Transportation,1122,1996,1,January,1,Southwest
1996-01-01,Tecate,California,2505,Mexico,Rail Transportation,313,1996,1,January,1,Southwest
1996-01-01,Tornillo,Texas,2404,Mexico,Commercial Transportation,10,1996,1,January,1,South
1996-01-01,Tornillo,Texas,2404,Mexico,Personal Transportation,203279,1996,1,January,1,South
